team_number,event_key,season,ranking,wins,losses,ties,opr,np_opr,ccwm
2855,2223-TX-E03,2223,11,3,2,0,149.74,153.22,10.94
18224,2223-TX-E03,2223,12,3,0,0,103.64,98.28,11.68
13873,2223-TX-E03,2223,13,3,1,0,148.78,139.34,22.69
5463,2223-TX-E03,2223,14,3,4,0,76.22,72.33,-4.45
6602,2223-TX-E03,2223,15,3,1,0,73.7,65.71,25.34
24560,2223-TX-E03,2223,16,3,1,0,97.34,97.02,41.85
6988,2223-TX-E03,2223,17,3,2,0,67.46,62.24,-40.27
19870,2223-TX-E03,2223,18,2,5,0,132.25,114.61,54.48
16119,2223-TX-E03,2223,19,2,3,0,103.44,106.47,-17.87
24853,2223-TX-E03,2223,20,2,0,0,76.64,77.23,37.64
12821,2223-TX-E03,2223,21,2,4,0,101.81,103.22,-10.3
20589,2223-TX-E03,2223,22,2,6,0,40.23,43.35,-52.73
22212,2223-TX-E03,2223,23,2,2,0,46.59,44.13,-48.19
5082,2223-TX-E03,2223,24,2,3,0,31.01,23.55,-37.55
17554,2223-TX-E03,2223,25,1,0,0,144.78,148.67,9.45
23173,2223-TX-E03,2223,26,1,2,0,107.1,98.08,13.56
13666,2223-TX-E03,2223,27,1,2,0,92.58,95.25,-22.18
16061,2223-TX-E03,2223,28,1,4,0,69.72,68.12,-12.29
2481,2223-TX-E03,2223,29,1,3,0,96.08,82.7,0.86
11470,2223-TX-E03,2223,30,1,1,0,103.58,98.68,35.03
12579,2223-TX-E03,2223,31,1,5,0,38.41,30.58,-57.19
11408,2223-TX-E03,2223,32,0,3,0,133.85,125.81,-35.06
14257,2223-TX-E03,2223,33,0,2,0,79.75,92.39,-62.98
18194,2223-TX-E03,2223,34,0,4,0,81.45,77.83,-22.18
20412,2223-TX-E03,2223,35,0,6,0,29.3,26.83,-81.86
11675,2223-TX-E04,2223,1,7,0,0,138.69,137.53,68.91
18157,2223-TX-E04,2223,2,6,1,0,138.24,131.77,68.84
13880,2223-TX-E04,2223,3,5,0,0,148.47,149.83,87.96
5983,2223-TX-E04,2223,4,5,0,0,128.27,130.03,79.04
15970,2223-TX-E04,2223,5,5,4,0,94.79,86.91,-30.9
9141,2223-TX-E04,2223,6,4,1,0,145.1,138.41,70.0
19305,2223-TX-E04,2223,7,4,1,0,124.96,126.15,61.6
21332,2223-TX-E04,2223,8,4,2,0,97.33,90.61,-15.93
22032,2223-TX-E04,2223,9,4,3,0,84.42,79.39,0.22
10709,2223-TX-E04,2223,10,3,2,0,130.26,126.4,24.79
20780,2223-TX-E04,2223,11,3,2,0,91.34,91.4,-46.58
2882,2223-TX-E04,2223,12,3,5,0,120.28,112.23,-14.05
13597,2223-TX-E04,2223,13,3,0,0,77.06,77.85,-27.68
23484,2223-TX-E04,2223,14,2,2,0,130.33,123.97,43.48
1410,2223-TX-E04,2223,15,2,3,0,105.15,95.53,-11.67
3175,2223-TX-E04,2223,16,2,0,0,119.93,91.29,136.57
15409,2223-TX-E04,2223,17,2,2,0,72.97,61.21,35.63
15117,2223-TX-E04,2223,18,2,4,0,94.95,83.41,-23.49
19111,2223-TX-E04,2223,19,2,4,0,59.33,58.63,-72.67
7495,2223-TX-E04,2223,20,1,0,0,134.72,112.77,44.05
4595,2223-TX-E04,2223,21,1,2,0,107.53,108.87,6.75
21481,2223-TX-E04,2223,22,1,4,0,89.76,87.33,-20.37
18751,2223-TX-E04,2223,23,1,2,0,104.17,103.5,-15.02
4741,2223-TX-E04,2223,24,1,5,0,72.9,61.61,-9.33
3326,2223-TX-E04,2223,25,1,8,0,65.82,63.8,-57.47
5127,2223-TX-E04,2223,26,1,3,0,60.41,60.3,-59.73
21826,2223-TX-E04,2223,27,1,3,0,36.62,33.73,-28.2
21129,2223-TX-E04,2223,28,0,4,0,77.04,75.06,-53.4
18328,2223-TX-E04,2223,29,0,2,0,108.1,93.45,21.85
15591,2223-TX-E04,2223,30,0,7,0,39.52,41.87,-79.65
22406,2324-TX-E01,2324,1,6,0,0,146.22,143.02,119.4
9266,2324-TX-E01,2324,2,5,0,0,133.32,136.95,84.34
20886,2324-TX-E01,2324,3,5,2,0,115.47,112.56,41.08
20493,2324-TX-E01,2324,4,5,4,0,97.43,93.99,12.39
21741,2324-TX-E01,2324,5,4,1,0,134.47,128.78,108.38
4541,2324-TX-E01,2324,6,4,0,0,129.64,130.3,90.66
18816,2324-TX-E01,2324,7,4,5,0,24.13,24.71,-63.61
17470,2324-TX-E01,2324,8,3,2,0,113.81,112.29,-10.76
9859,2324-TX-E01,2324,9,3,3,0,89.55,86.01,2.01
14122,2324-TX-E01,2324,10,2,0,0,140.57,123.32,43.95
22083,2324-TX-E01,2324,11,2,1,0,122.99,113.43,-30.49
10302,2324-TX-E01,2324,12,2,1,0,131.94,124.29,79.12
6129,2324-TX-E01,2324,13,2,3,0,74.64,72.35,-25.3
8381,2324-TX-E01,2324,14,2,4,0,84.49,77.73,20.74
17265,2324-TX-E01,2324,15,2,2,0,82.32,75.73,-2.66
5692,2324-TX-E01,2324,16,2,1,0,62.65,66.02,27.15
7238,2324-TX-E01,2324,17,2,4,0,56.73,51.71,-33.07
8883,2324-TX-E01,2324,18,2,2,0,25.58,24.96,-76.53
8479,2324-TX-E01,2324,19,1,3,0,61.42,62.32,-25.8
15101,2324-TX-E01,2324,20,1,1,0,58.86,61.27,0.7
18439,2324-TX-E01,2324,21,1,1,0,60.96,59.09,41.09
5040,2324-TX-E01,2324,22,1,4,0,44.81,32.36,-63.15
6930,2324-TX-E01,2324,23,1,7,0,20.65,22.83,-85.56
16759,2324-TX-E01,2324,24,0,5,0,54.86,53.47,-69.78
22443,2324-TX-E01,2324,25,0,6,0,50.76,45.1,-42.78
14804,2324-TX-E02,2324,1,6,0,0,132.79,127.97,60.28
18968,2324-TX-E02,2324,2,5,1,0,125.98,123.28,40.34
6590,2324-TX-E02,2324,3,5,2,0,129.99,127.65,67.25
20292,2324-TX-E02,2324,4,4,1,0,101.85,99.96,11.74
16202,2324-TX-E02,2324,5,4,2,0,108.45,105.67,56.46
17330,2324-TX-E02,2324,6,3,1,0,125.75,126.53,36.23
12961,2324-TX-E02,2324,7,3,0,0,117.31,109.71,80.11
5252,2324-TX-E02,2324,8,3,1,0,88.43,81.58,30.28
15579,2324-TX-E02,2324,9,3,1,0,96.71,99.43,44.69
1634,2324-TX-E02,2324,10,3,1,0,132.6,123.99,64.42
5233,2324-TX-E02,2324,11,3,3,0,92.07,88.14,19.29
11889,2324-TX-E02,2324,12,3,3,0,89.04,89.13,30.71
7359,2324-TX-E02,2324,13,3,7,0,71.87,66.78,-34.46
17073,2324-TX-E02,2324,14,3,3,0,30.78,30.86,-45.4
5745,2324-TX-E02,2324,15,2,2,0,128.39,121.69,44.39
6382,2324-TX-E02,2324,16,2,3,0,115.45,109.69,8.11
15317,2324-TX-E02,2324,17,2,5,0,63.81,62.47,-57.33
21877,2324-TX-E02,2324,18,2,2,0,88.26,79.43,4.86
8925,2324-TX-E02,2324,19,2,3,0,48.45,47.44,-77.29
6975,2324-TX-E02,2324,20,1,2,0,66.56,62.69,-38.89
6316,2324-TX-E02,2324,21,1,3,0,62.82,63.77,-15.99
9843,2324-TX-E02,2324,22,1,4,0,7.02,10.43,-132.3
21788,2324-TX-E02,2324,23,0,1,0,84.13,89.22,-22.54
11144,2324-TX-E02,2324,24,0,7,0,47.11,48.75,-63.13
6847,2324-TX-E02,2324,25,0,2,0,38.84,41.76,-52.82
24605,2324-TX-E02,2324,26,0,4,0,41.77,38.14,-33.85
3170,2324-TX-E03,2324,1,8,2,0,141.92,138.51,68.8
2539,2324-TX-E03,2324,2,5,1,0,135.2,132.46,42.69
22125,2324-TX-E03,2324,3,5,4,0,110.05,99.34,8.7
11579,2324-TX-E03,2324,4,3,1,0,141.81,126.99,67.3
13159,2324-TX-E03,2324,5,3,2,0,86.31,92.8,-17.84
23567,2324-TX-E03,2324,6,3,2,0,130.57,129.24,50.42
1189,2324-TX-E03,2324,7,2,4,0,116.86,114.28,-9.22
19074,2324-TX-E03,2324,8,2,2,0,94.72,94.48,-31.09
21946,2324-TX-E03,2324,9,2,6,0,65.44,64.67,-64.37
6266,2324-TX-E03,2324,10,2,2,0,39.37,33.7,-49.3
11016,2324-TX-E03,2324,11,1,1,0,91.16,84.87,0.46
10425,2324-TX-E03,2324,12,1,5,0,69.49,71.01,-73.27
18255,2324-TX-E03,2324,13,1,4,0,123.76,108.7,26.6
20245,2324-TX-E03,2324,14,1,2,0,66.93,66.93,-50.38
8380,2324-TX-E03,2324,15,1,2,0,63.51,65.05,-35.3
14564,2324-TX-E04,2324,1,11,0,0,113.92,105.82,77.36
4892,2324-TX-E04,2324,2,5,3,0,150.83,147.03,24.72
15489,2324-TX-E04,2324,3,5,1,0,112.48,113.23,52.7
4234,2324-TX-E04,2324,4,3,2,0,149.53,138.73,-1.8
18877,2324-TX-E04,2324,5,3,3,0,125.4,115.99,35.08
5550,2324-TX-E04,2324,6,3,1,0,108.7,111.12,2.3
17646,2324-TX-E04,2324,7,3,1,0,120.03,122.84,26.24
9180,2324-TX-E04,2324,8,3,1,0,102.33,86.36,15.96
3058,2324-TX-E04,2324,9,3,2,0,137.47,128.75,47.65
13338,2324-TX-E04,2324,10,3,3,0,76.39,77.96,-6.94
11010,2324-TX-E04,2324,11,2,1,0,141.0,133.2,43.67
1656,2324-TX-E04,2324,12,2,2,0,93.26,93.04,-22.97
9111,2324-TX-E04,2324,13,2,2,0,90.27,87.39,26.71
19695,2324-TX-E04,2324,14,2,3,0,74.64,74.51,-25.03
15176,2324-TX-E04,2324,15,2,6,0,38.81,38.21,-57.08
12453,2324-TX-E04,2324,16,2,5,0,61.08,55.65,-32.08
5204,2324-TX-E04,2324,17,1,5,0,103.27,93.94,-19.16
15938,2324-TX-E04,2324,18,1,2,0,129.24,117.99,18.75
9984,2324-TX-E04,2324,19,1,1,0,75.62,77.42,-53.77
15093,2324-TX-E04,2324,20,1,5,0,53.01,54.55,-34.55
3726,2324-TX-E04,2324,21,1,4,0,69.83,63.97,-45.75
5790,2324-TX-E04,2324,22,1,2,0,26.02,30.09,-42.69
15967,2324-TX-E04,2324,23,1,2,0,48.82,41.27,-66.08
24626,2324-TX-E04,2324,24,1,4,0,37.36,40.99,-51.84
23347,2324-TX-E04,2324,25,0,1,0,40.92,46.35,-92.92
